Question,Ground Truth,Prediction,Correct
Where did Marin build first fort?,"fort presque isle (near present-day erie, pennsylvania",i don't know.,False
What increases or decreases in response to static friction?,,i don't know.,True
What would Henry David Thoreau quote to audiences in India?,,i don't know.,True
What revolution was fought in the 1899's?,,i don't know.,True
How are the rates of social goods in countries with lower inequality?,,i don't know.,True
What is held inside the formal legal ownership registration system in many developing countries?,,i don't know.,True
In what year were there 5751 Filipinos in Jacksonville,,i don't know.,True
What changes the way a mineral is deposited?,,i don't know.,True
The region spans starting at islands found in which body of water?,pacific ocean,the long island sound.,False
What was done to counteract the overpopulation of mnemiopsis in The Black Sea?,introduction of beroe,i don't know.,False
Of what form do Euler primes take?,,i don't know.,True
The Los Angeles Angels of Anaheim are from which sport?,mlb,i don't know.,False
What seminal paper was written by Juris Hartmanis and Richard Stearns in 1975?,,i don't know.,True
What NLH teams are from Southern California?,,"the los angeles dodgers and the san francisco giants are from california, but the san francisco giants are from northern california, not southern california.",True
"The legislative body, the Council, are made up of what type of individuals?",different ministers of the member states,council members.,False
What does the Zachęta National Gallery of Art organize exhibitions of art from?,polish and international artists,i don't know.,False
What conviction did many Poles have regarding how the Varsovians thought of themselves?,as better,i don't know.,False
How many modern types of algorithm tests for general numbers n are there?,,i don't know.,True
What is restrained with a lever in the top of a driver?,,i don't know.,True
What type of space in Warsaw are the Botanic Garden and University Library garden?,green,i don't know.,False
What are pharmacists forbidden to do?,"form business partnerships with physicians or give them ""kickback"" payments",i don't know.,False
Where did Fresno residents move to during the flooding?,,i don't know.,True
Which parts of the Earth are included in the lithosphere? ,the crust and rigid uppermost portion of the upper mantle,i don't know.,False
 what do conquering people take away from native populations?,,intertribal wars among the native americans and some epidemics brought on by contact with the europeans caused sizable population losses for the lenape between the years 1660 and 1670.,True
Which type of rebellions are common in Scottish Parliament?,,i don't know.,True
Where does the name Rhine derive from? ,gaulish name rēnos,i don't know.,False
The production of what signalling molecules is regulated by the immune system?,hormones,i don't know.,False
How many people may have lived in the Amazon region during AD 1500?,5 million,i don't know.,False
What are MPs unable to vote upon?,domestic legislation of the scottish parliament,i don't know.,False
When was there a sharp rise in nationalism in Scotland?,the late 1960s,i don't know.,False
What wasn't the goal of Braddock's expedition?,,i don't know.,True
How man people gather along the banks of the Vistula for the Wianki festival?,thousands,i don't know.,False
What makes up 11.6% of Jacksonville?,,i don't know.,True
How does inequality prevent growth?,by limiting aggregate demand,i don't know.,False
Who is Kearney Boulevard named after?,m. theo kearney,i don't know.,False
What present day county is New Rochelle in?,westchester,i don't know.,False
What year were citizens or corporations said to have been able to bring claims against other non state parties?,,i don't know.,True
What should be avoided when talking to authorities?,suspect's talking to criminal investigators,right speech.,False
What includes all subjects which are not stated in Schedule 6 to the Scotland Act?,,i don't know.,True
What alumni member also write the bestseller Before I Fall?,lauren oliver,i don't know.,False
What does the TEU not do?,,i don't know.,True
"In an ideal moral society, what would all citizens be free from?",force,i don't know.,False
How did the black death make it to the Mediterranean and Europe?,merchant ships.,i don't know.,False
What is course content funding subject to?,,i don't know.,True
When was Europe's last major epidemic?,1720 in marseille.,i don't know.,False
What kind of sediment particles are there?,,i don't know.,True
How many books are endorsed by the American Library Association?,,i don't know.,True
What pushes businesses to decrease pressures on workers?,,i don't know.,True
When did the North American French and Indian War end?,signing of the treaty of paris on 10 february 1763,i don't know.,False
In what year did the Black Death reach the Mediterranean?,,i don't know.,True
